"ID","post_title","coords"
43541,"Kopies en drukwerk All Printing Services","51.229646,2.911233"
43541,"Kopies en drukwerk All Printing Services","51.04024,3.725427"
43541,"Kopies en drukwerk All Printing Services","50.8602599,4.4186561"
43541,"Kopies en drukwerk All Printing Services","50.8400667,4.381206"
43541,"Kopies en drukwerk All Printing Services","50.7313823,4.5862683"
43825,"Fitness Club 9400","50.8310578,4.0231549"
72038,"Fietsen Mintjens","51.2632731,4.5528284"
72038,"Fietsen Mintjens","51.3042654,4.5680769"
72038,"Fietsen Mintjens","51.3141077,4.4315942"
72038,"Fietsen Mintjens","51.093863,3.9859795"
74311,"Boekhandel Mekanik Strip","51.220107,4.4142343"
74129,"Cinema Zuid","51.2089263,4.3878848"
73846,"Euro Space Center","50.0083594,5.2194177"
73317,"Train Hostel Brussels","50.8786106,4.3814724"
73214,"Museum Fondation Folon","50.7289594,4.452617"
73088,"Argos - Centrum voor kunst en media","50.856632,4.3496322"
72990,"Hondenbelevingscentrum Kwispelturig","50.8354772,4.0091793"
72838,"Texture - Museum over Leie en Vlas","50.829765,3.2560476"
72823,"Avonturenpark Koézio 'Special Agent Center'","50.8801929,4.3737335"
72748,"Musée provincial des Arts anciens du Namurois","50.4655613,4.8653129"
72292,"Diamantmuseum Brugge","51.2026669,3.2257728"
72122,"Préhistomuseum","50.5788436,5.4268154"
72091,"Openparkdag - Dierenpark De Zonnegloed","50.9405055,2.7526104"
71430,"CLIP taalvakanties vzw","50.8689975,4.6463967"
71416,"Volkssterrenwacht Cozmix","51.1768436,3.1530755"
71045,"Verzekeringen Ethias","50.932285,4.030719"
71045,"Verzekeringen Ethias","51.2000203,4.4144943"
71045,"Verzekeringen Ethias","50.91641,5.328889"
71045,"Verzekeringen Ethias","50.848739,4.3521071"
71045,"Verzekeringen Ethias","51.18633,3.562434"
71045,"Verzekeringen Ethias","51.159191,4.996147"
71045,"Verzekeringen Ethias","51.044401,3.731708"
71045,"Verzekeringen Ethias","50.7332525,4.2407596"
71045,"Verzekeringen Ethias","51.192656,3.213191"
71045,"Verzekeringen Ethias","50.840997,2.889034"
71045,"Verzekeringen Ethias","50.8340437,3.2784738"
71045,"Verzekeringen Ethias","50.8830845,4.7128236"
71045,"Verzekeringen Ethias","50.9615951,5.6948769"
71045,"Verzekeringen Ethias","51.0199193,4.4821992"
71045,"Verzekeringen Ethias","51.2511238,4.4557974"
71045,"Verzekeringen Ethias","51.1328133,5.4486982"
71045,"Verzekeringen Ethias","51.2270285,2.9232882"
71045,"Verzekeringen Ethias","50.843094,3.609379"
71045,"Verzekeringen Ethias","50.9562958,3.1198808"
71045,"Verzekeringen Ethias","51.1734746,4.1417975"
71045,"Verzekeringen Ethias","50.805453,4.940263"
71045,"Verzekeringen Ethias","51.312849,4.9508124"
71045,"Verzekeringen Ethias","50.800515,4.3741968"
71045,"Verzekeringen Ethias","50.8344278,4.4328365"
71045,"Verzekeringen Ethias","50.6784577,5.5288429"
71045,"Verzekeringen Ethias","49.6852905,5.7943017"
71045,"Verzekeringen Ethias","50.6285586,3.7744766"
71045,"Verzekeringen Ethias","50.4078839,4.4515354"
71045,"Verzekeringen Ethias","50.270622,4.900379"
71045,"Verzekeringen Ethias","50.630919,6.034154"
71045,"Verzekeringen Ethias","50.6726023,5.0772859"
71045,"Verzekeringen Ethias","50.52247,5.243536"
71045,"Verzekeringen Ethias","50.4798892,4.1920353"
71045,"Verzekeringen Ethias","49.918392,5.374799"
71045,"Verzekeringen Ethias","50.2232755,5.340768"
71045,"Verzekeringen Ethias","50.466301,4.865455"
71045,"Verzekeringen Ethias","50.5876356,5.8490665"
71045,"Verzekeringen Ethias","50.7298615,4.5894528"
71045,"Verzekeringen Ethias","50.695572,5.253054"
70635,"FOMU - Fotomuseum Antwerpen","51.2089201,4.3879008"
70252,"Tweedehandswinkel Kwasinova","51.0927758,5.5292074"
69892,"Afvalintercommunale Limburg.net","50.9383674,5.3550498"
64278,"De Boot vzw","50.9676481,2.8164928"
63865,"Provinciaal Veiligheidsinstituut (PVI)","51.1994283,4.4166791"
63850,"Vlaams Kennis- en Vormingscentrum voor Natuur en Milieu De Helix","50.7828768,3.9356375"
61552,"Vakantieverblijf Hostel Uppelink","51.0539166,3.7199115"
61545,"Kajaks Korenlei Gent","51.0539166,3.7199115"
55444,"Speelgoedwinkel Kiki","51.2668687,4.6395324"
54156,"Kimarte creatieve workshops","51.0214435,5.7460675"
53222,"Beursschouwburg","50.8485937,4.3484045"
51906,"CGSO Brugge, Centrum voor Geboorteregeling en Seksuele Vorming","51.217717,3.2197675"
45122,"Outlet shopping Maasmechelen Village","51.0026814,5.7068273"
42771,"MIMA","50.8512512,4.3385597"
74607,"Pop-up workshop ‘Studio Congo Maxi'","50.843776,4.3597967"
44216,"Jheronimus Bosch Art Center","51.6882791,5.3124355"
44612,"AUVA Informatica & Telecom","50.9425158,5.3283048"
44612,"AUVA Informatica & Telecom","50.7674881,5.4663611"
44612,"AUVA Informatica & Telecom","50.9961854,5.3610851"
44612,"AUVA Informatica & Telecom","51.024663,5.27118"
44612,"AUVA Informatica & Telecom","50.9750924,5.5211285"
44612,"AUVA Informatica & Telecom","51.0384146,5.3785366"
43508,"MoMu - ModeMuseum Antwerpen","51.2171812,4.3998153"
43802,"'t Gasthuys - Stedelijk Museum Aalst","50.9379286,4.0431304"
46162,"Familiepark Harry Malter","51.0227172,3.8213783"
43778,"Modemuseum Hasselt","50.933676,5.3382558"
75177,"Plopsa-parken","51.0808505,2.5987627"
75177,"Plopsa-parken","50.932271,5.361896"
75177,"Plopsa-parken","50.3943431,5.8749873"
75177,"Plopsa-parken","51.0824301,2.6014232"
45755,"Vakantieverblijf Holiday&nbsp;Suites","51.0098936,5.4688456"
45755,"Vakantieverblijf Holiday&nbsp;Suites","51.315277,3.1239126"
45755,"Vakantieverblijf Holiday&nbsp;Suites","51.0953975,2.5887368"
45755,"Vakantieverblijf Holiday&nbsp;Suites","51.2688293,3.0280129"
45755,"Vakantieverblijf Holiday&nbsp;Suites","51.1593605,2.7622358"
45755,"Vakantieverblijf Holiday&nbsp;Suites","51.329034,3.202268"
45755,"Vakantieverblijf Holiday&nbsp;Suites","51.0784634,2.517643"
45755,"Vakantieverblijf Holiday&nbsp;Suites","51.0818283,2.5233161"
45755,"Vakantieverblijf Holiday&nbsp;Suites","50.670232,1.578193"
45755,"Vakantieverblijf Holiday&nbsp;Suites","50.9959484,2.0430913"
76022,"Permekemuseum","51.1794817,3.1003711"
76697,"Sportclub @ The Park","51.1952639,4.4625211,17"
74993,"Aquafun / Kids World Sunparks De Haan en Oostduinkerke","51.1323355,2.7121265"
74993,"Aquafun / Kids World Sunparks De Haan en Oostduinkerke","51.2838777,3.0634938"
75555,"Een dagje Center Parcs De Vossemeren en Erperheide","51.2570444,5.3285521"
75555,"Een dagje Center Parcs De Vossemeren en Erperheide","51.128832,5.5040002"
44338,"Webwinkel speelgoed Kinderenkoning","51.1410047,4.4422264"
78003,"Sportimonium","50.9839799,4.5040661"
80101,"Verhuur DL StageWorks","50.8576988,4.5358083"
79952,"Webshop Allibert Boutique","51.1405687,4.4413708"
80089,"Webshop Blomus België","51.1405687,4.4413708"
80479,"Bed & breakfast Le Pech Grand","44.883031,1.565107"
80911,"Vleeshuismuseum Dendermonde","51.0314466,4.0978507"
80917,"Begijnhofmuseum Dendermonde","51.0276794,4.099311"
81036,"Mode en Kant Museum Brussel","50.8457777,4.3519893"
45350,"Brussels Museum van de Molen en de Voeding","50.8732014,4.3955909"
81258,"Riolenmuseum","50.8446265,4.3388743"
46136,"Blotevoetenpad Zutendaal","50.9205755,5.571398"
44113,"Theater Malpertuis","50.993485,3.326527"
44911,"Kopies en drukwerk Repro","51.2515069,4.4566524"
43270,"Domaine des Grottes de Han","50.125462,5.187467"
46478,"Speelgoedmuseum Mechelen","51.030524,4.4912071"
45295,"Museum Dr. Guislain","51.0662158,3.7027172"
44007,"Museum De Velodroom","51.156916,3.1139245"
45505,"Seafront Zeebrugge","51.3324653,3.2026331"
44224,"Arboretum Kalmthout","51.3906801,4.4651124"
46374,"Museum voor Natuurwetenschappen","50.8365089,4.3764933"
44870,"De Marketiers","51.0624228,5.0889104"
43283,"Parc de Furfooz","50.2248302,4.9579033"
43785,"Restaurants en schoolwinkel Hotelschool Gent","51.0484575,3.7339863"
46496,"Atlantikwall","51.1980024,2.8497176"
45288,"Boekhandel De Striep","51.202963,3.2252372"
43529,"Choco-Story Brugge","51.2107941,3.2261226"
42856,"Frietmuseum","51.2110283,3.2240012"
45189,"Het Witloofmuseum","50.9538941,4.5956691"
43040,"Horizon Educatief","51.2377705,2.9387485"
49232,"LARF!","51.0574585,3.7371525"
48711,"Experience.brussels","50.8429137,4.3600097"
48326,"Bobbejaanland","51.2010092,4.9035258"
42809,"Movie Park Germany","51.6227113,6.9736089"
43060,"Monde Sauvage","50.5021287,5.7466521"
44320,"Bezoekerscentrum Jules Destrooper","50.9792928,2.7466856"
43499,"Attractiepark Toverland","51.3966609,5.9849163"
46520,"Jongerentravel","51.0497281,4.4799925"
42936,"Vakantieverblijf 't&nbsp;Rustplekje","50.9393459,2.6380783"
43292,"Fort Eben-Emael","50.79757,5.6789069"
44233,"Vakantieverblijf Peace Village Hostel","50.766219,2.8956607"
44618,"Vakantieverblijf Rootmolen","50.8619412,5.423023"
45760,"Vakantieverblijf Het&nbsp;Poortgebouw","50.8027938,3.42795"
46513,"Vakantieverblijf Polderrust","51.1073999,2.758839"
46198,"Vakantieverblijf Hoevedomein Rietvelde","51.1218568,2.7492768"
46176,"Vakantieverblijf Alfa Inn","51.3138866,3.1307672"
45915,"Kantoorhandel Westlandia","51.0654602,3.1027253"
44104,"De Schorre - Binnenspeeltuin","51.0879263,4.3741847"
44246,"Mijnmuseum","51.0682038,5.2209827"
44177,"Kopies en drukwerk Copy House","50.8481921,4.3567551"
43087,"Grotten van Remouchamps","50.4799228,5.7121825"
44835,"Provinciedomein Het Vinne","50.8460063,5.1293646"
43852,"Fietsen Vergauwe","51.2359198,3.5217729"
45401,"COLOMAplus - didactisch restaurant","51.0054313,4.4865151"
43892,"Fit & Relax Center","50.9613177,4.3423406"
44346,"Body-World Fitness","51.0407598,4.6287632"
44052,"Tennis- en Squashcenter 't Sas","51.1093884,4.5250481"
42797,"Museum voor de Geschiedenis van de Wetenschappen","51.0264967,3.7152186"
48799,"Fietsen Mega-Cycle","50.8448397,3.383373"
48764,"Uitgeverij De Eenhoorn","50.9093337,3.395753"
43496,"Fietswinkel Fietsen Philip","50.8838748,3.8898381"
43727,"Fietsenwinkel Huis Lippens","51.3059671,4.4845997"
43960,"Museum van het Belgisch Trekpaard","50.7606294,4.0249996"
45067,"JB-signs","50.9670379,3.4873601"
46063,"Computerkliniek bvba","51.2063235,3.2400079"
46082,"Plantentuin Meise","50.9281278,4.3349522"
45818,"Burroo-Copy","50.8513863,2.8763463"
44896,"DS Art Fotografie","50.8479718,2.8791982"
45377,"Kunstencentrum BELGIE","50.9323615,5.3330495"
44164,"CC Beringen","51.0716054,5.217035"
45663,"Ballonvaarten Ballooning Company","51.0049536,4.0148576"
45732,"Bed & breakfast A la Vieille Ecole","43.6002168,-0.5453051"
45632,"Bed & breakfast Brughia","51.208248,3.217451"
44476,"BMx Computers","50.9004801,4.315045"
44509,"Vakantieverblijf Relaxhoris","50.4438898,5.6017582"
44932,"Muziek- en boekhandel Collector Shop - Den Elder","51.2106481,3.2357498"
46283,"C-Aparthotel Zon en Zee Westende","51.158563,2.7636738"
44119,"Speelgoedwinkel Het Huis van Muis","51.2362045,4.9802485"
44340,"Webwinkel helmen en mutsen Mynutty","51.1410047,4.4422264"
45582,"Poldi Sport","50.9845552,5.6999221"
43080,"Ecopark-Adventures Tournai","50.5995319,3.4128878"
46024,"PC Yellow","51.3050866,4.5667399"
43977,"Fietswinkel Pago-Bikes","51.1762321,3.7598817"
43996,"Gocartevent.be","51.0312622,4.2447067"
44708,"Bed & breakfast Welcome Home","51.1002135,4.989995"
48926,"Optiek Van Bignoot","51.026135,3.7215796"
44125,"Optiek Cassiers","51.0307213,3.6829326"
45301,"BRONKS","50.8531087,4.3461482"
43558,"Maison du patrimoine médiéval mosan","50.2727263,4.8978512"
44325,"Speelgoed en kinderboeken JOJO","51.314894,4.4291292"
44659,"Speelgoedwinkel De Speelkamer","51.3198484,4.8571491"
48770,"Bed & breakfast De Vossenbarm","51.1600903,3.1020151"
44823,"Volkssterrenwacht Urania vzw","51.1448357,4.4654302"
44978,"Boekhandel Pardoes","51.0266546,4.4787649"
43683,"Huis van Alijn - Museum van het dagelijks leven","51.0574001,3.7233305"
43127,"Géologium","50.7767893,5.6534689"
44748,"Kinder- en jeugdboekhandel Verhalenhuis","51.0377819,3.7476499"
43879,"CC De&nbsp;Steiger","51.0876662,4.3657861"
44085,"Hotel De Maretak","51.0317801,5.736467"
44926,"Hobby- en kantoorwaren De Schacht","51.2025468,3.226031"
45746,"Schoonheidsinstituut io","51.2048842,4.3891857"
42853,"Kinderboerderij Pietersheim","50.9030464,5.6578946"
44572,"Connecterra","50.9999005,5.7026282"
45486,"Gemeenschapscentrum Forum","50.7785586,3.0452517"
45278,"Koninklijk Museum van het Leger en de Krijgsgeschiedenis","50.841393,4.3904833"
43640,"Bibliotheek Bree","51.1393951,5.5960936"
45390,"Reizen CIC","50.8560839,4.3523862"
44154,"Vakantieverblijf De&nbsp;Poezelhoekvallei","50.8402908,2.9944148"
43408,"Espace Arthur Masson","50.0927821,4.6670201"
44206,"Naturzentrum Haus Ternell","50.5859019,6.1297355"
45064,"Hobby-, school- en kantoorbenodigdheden Van Hoye","51.2053988,4.0401605"
44015,"Nationaal Tabaksmuseum","50.7756485,3.0337295"
45944,"Vakantieverblijf Casa Rural El Olivar","37.2648417,-4.2825406"
